feature_delta,spread_partial_r_full,spread_signal,ou_partial_r_full,ou_signal,variance_signal_spread,variance_r_spread,variance_signal_ou,variance_r_ou,trajectory_verdict,yoy_r,yoy_verdict,conferences_spread_signal,conferences_ou_signal,notes
delta_off_success_rate_rush,-0.0188,redundant / drop,0.0265,redundant / drop,False,0.0291,False,0.0024,weakens,0.5238,moderate,"['Mid-American', 'Pac-12']","['ACC', 'American Athletic', 'Big 12', 'Mid-American']",
delta_off_success_rate_pass,0.0416,redundant / drop,0.0463,redundant / drop,False,0.002,False,-0.013,weakens,0.4917,unstable,"['Big 12', 'SEC']","['American Athletic', 'Big Ten', 'SEC']",
delta_off_success_rate_std_downs,0.0305,redundant / drop,0.0499,redundant / drop,False,0.0225,False,-0.0063,weakens,0.5674,moderate,"['Mountain West', 'SEC']","['ACC', 'American Athletic', 'Big 12', 'Mid-American', 'Mountain West', 'Sun Belt']",
delta_off_success_rate_pass_downs,-0.0056,redundant / drop,0.0064,redundant / drop,False,-0.0237,False,-0.0152,stable,0.3562,unstable,[],"['ACC', 'Big Ten', 'Sun Belt']",
delta_off_explosive_rate_20,0.0153,redundant / drop,0.0153,redundant / drop,False,-0.015,False,0.0125,stable,0.3211,unstable,"['American Athletic', 'Conference USA', 'SEC', 'Sun Belt']","['Big 12', 'Conference USA', 'Mid-American', 'Pac-12', 'Sun Belt']",
delta_off_explosive_rate_10,0.0171,redundant / drop,0.0121,redundant / drop,False,-0.0162,False,0.0049,weakens,0.4425,unstable,"['American Athletic', 'Conference USA', 'SEC']","['ACC', 'American Athletic', 'Mid-American', 'Pac-12', 'Sun Belt']",
delta_off_stuff_rate,0.0195,redundant / drop,-0.0322,redundant / drop,False,-0.0092,False,-0.0217,strengthens,0.4825,unstable,"['American Athletic', 'Big Ten', 'Pac-12']","['ACC', 'American Athletic', 'Mid-American']",
delta_off_line_yards_per_rush,-0.0138,redundant / drop,0.0254,redundant / drop,False,0.0173,False,0.0092,weakens,0.4719,unstable,['American Athletic'],"['ACC', 'American Athletic', 'Mid-American', 'Pac-12']",
delta_off_sack_rate_allowed,-0.0014,redundant / drop,-0.0554,redundant / drop,False,0.0114,False,-0.0123,stable,0.27,unstable,"['ACC', 'American Athletic', 'Conference USA', 'Mountain West']","['Big Ten', 'SEC', 'Sun Belt']",
delta_off_pts_per_opportunity,0.0325,redundant / drop,0.0526,redundant / drop,False,-0.0143,False,0.0066,stable,0.5162,moderate,"['ACC', 'Conference USA', 'Mountain West', 'SEC']","['ACC', 'American Athletic', 'Big 12', 'Mid-American', 'Mountain West', 'SEC']",
delta_off_epa_rush,-0.0177,redundant / drop,0.0243,redundant / drop,False,0.0217,False,0.0199,weakens,0.4356,unstable,"['Big Ten', 'Mountain West', 'Sun Belt']","['ACC', 'American Athletic', 'Conference USA', 'Mid-American']",
delta_off_epa_pass,0.0507,redundant / drop,0.04,redundant / drop,False,-0.0071,False,0.0067,weakens,0.3955,unstable,"['ACC', 'American Athletic', 'SEC']","['ACC', 'American Athletic', 'Big Ten', 'Mid-American', 'SEC']",
delta_off_success_rate_redzone,0.0173,redundant / drop,0.0058,redundant / drop,False,0.0463,False,0.0077,stable,0.0708,unstable,"['ACC', 'Conference USA', 'Mid-American']","['American Athletic', 'Conference USA', 'Sun Belt']",
delta_off_epa_redzone,0.0243,redundant / drop,0.0147,redundant / drop,False,0.0243,False,0.0154,weakens,0.0661,unstable,['ACC'],"['American Athletic', 'Sun Belt']",
delta_time_of_possession,-0.0146,redundant / drop,-0.0113,redundant / drop,False,-0.0247,False,0.0219,stable,0.0755,unstable,['Big Ten'],"['American Athletic', 'Pac-12', 'Sun Belt']",
delta_rush_rate_std_downs,-0.0225,redundant / drop,-0.0039,redundant / drop,False,0.0083,False,0.0084,weakens,0.5348,moderate,"['Conference USA', 'SEC']","['ACC', 'American Athletic', 'Big Ten', 'Conference USA', 'SEC']",
delta_rush_rate_pass_downs,-0.018,redundant / drop,-0.0185,redundant / drop,False,-0.0065,False,-0.0159,stable,0.4785,unstable,"['Mountain West', 'SEC']","['ACC', 'American Athletic', 'Big Ten', 'Conference USA', 'SEC']",
