venue_id,venue_name,elevation_feet
150,Jack Coffey Field,56.7
538,StubHub Center,22.1
980,Benedetti-Wehrli Stadium,681.5
3494,The Dome at America's Center,466.1
3600,Tom Adams Field,598.7
3606,Scheels Field at Nemzek Stadium,906.1
3611,Alumni Field (MA),907.6
3612,Alumni Memorial Stadium (NC),766.5
3614,Alumni Stadium (IN),783.8
3618,Apprentice Field,27.3
3621,Arnold Field (PA),413.6
3633,Ben Altamirano Field,5902.3
3635,Bill Buxton Stadium,967.6
3638,MDU Resources Community Bowl,1694.2
3640,Blackstock Stadium,841.6
3641,Blakeslee Stadium,833.2
3642,Bobcat Stadium (MD),2063.1
3645,Bolstorff Field,1267.5
3659,Bulldog Stadium (NE),1528.6
3663,Burke-Tarr Stadium,1202.2
3667,Callaghan Stadium,2437.1
3675,Charles A. Gaetano Stadium,454.4
3677,Chuck Noll Field,1017.8
3678,City Stadium (VA),634.9
3684,Citrus Stadium,608.6
3690,Charles L. Currier Memorial Field,522.7
3698,Donnell Stadium,758.9
3702,Durham County Memorial Stadium,399.7
3703,Durham County Stadium,361.6
3705,Earl Kitchings Stadium,15.5
3709,Hempstead Stadium,28.5
3717,Edwin Fauver Stadium,491.2
3718,Tom Benson Hall of Fame Stadium,1054.3
3723,QU Stadium,567.5
3728,Terry Fox Field,340.4
3729,"Frank ""Muddy"" Waters Stadium",1138.1
3731,Frost-Kalnow Stadium,744.9
3733,Garcelon Field,217.6
3745,Greater Zion Stadium,2813.1
3747,Hantz Stadium,630.3
3749,Hunter Stadium,513.0
3755,Ray and Sue Smith Stadium,606.2
3760,Hubert Jack Stadium,560.5
3767,Indian Bowl,617.6
3769,Jack Britt Memorial Stadium,676.0
3770,Jack Miller Stadium,1073.4
3794,Korb Field,958.9
3800,Larry Wilcox Stadium,1072.1
3804,Legions Field (FL),146.3
3807,Lincoln Park Stadium,208.3
3808,Lincoln University Stadium,516.6
3813,"Luther ""Nick"" Jeralds Stadium",100.6
3818,Malosky Stadium,931.8
3819,Bowditch Field,162.2
3823,Hardee-McGee Field,1911.6
3827,"Memorial Stadium (Stephenville, TX)",1299.1
3837,"Memorial Stadium (Selma, AL)",138.6
3843,MLC Bowl,893.2
3859,Offutt Field,1031.8
3860,O'Harra Stadium,3226.5
3869,Palmetto Ridge High School,4.0
3870,Panther Stadium (OH),759.3
3871,General Charles C. Krulak Stadium,609.3
3875,Paul Laird Field,650.4
3877,Pioneer Stadium,1761.3
3880,Priest Field,764.2
3885,Harvey Randall Wickes Memorial Stadium,11.6
3901,Robert E. Williams Field,831.1
3904,Rogers Stadium (VA),67.2
3915,Charles Lee Field at Samford Stadium,235.9
3920,Schmidt Stadium,981.3
3922,Kenneth R. Gill Stadium,719.8
3927,Sherman Field,1236.0
3934,Southern Nazarene University Football Stadium,1310.5
3938,Sports Complex (OH),556.1
3939,St. Vincent Health Field,719.3
3943,Stillman Stadium,227.5
3945,Strong Stadium,750.7
3951,Swisher Field,1301.6
3957,Tiger Stadium (AL),154.6
3960,Top Taggart Field,927.9
3995,Dr. John W. Winkin Sports Complex,115.4
4015,Barron Stadium,620.7
4103,Tiger Stadium (MO),769.3
4110,A.J. McClung Stadium,239.1
4134,Salem Stadium,1068.9
4205,Petco Park,49.9
4221,Target Field,839.7
4250,Wrigley Field,594.1
4420,Florida Tech Panther Stadium,21.1
4421,Multi-Sport Performance Stadium,1304.0
4422,Valhalla Stadium,616.6
4423,Young-Wise Memorial Stadium,415.4
4425,Southwestern Field House,754.2
4426,Matador Stadium,528.3
4427,John A. Farrell Stadium,458.9
