outcome,outcome_col,feature_delta,stratum,n,partial_r,abs_partial_r,p_value,threshold,clears_threshold,direction
spread,point_differential,off_success_rate_rush_delta,Full,1604,0.006725152210551076,0.006725152210551076,0.7878256396365643,0.08,False,positive
spread,point_differential,off_success_rate_pass_delta,Full,1604,0.14267971843494873,0.14267971843494873,9.50969934898095e-09,0.08,True,positive
spread,point_differential,off_success_rate_std_downs_delta,Full,1604,0.058220299656233696,0.058220299656233696,0.0197069251109395,0.08,False,positive
spread,point_differential,off_success_rate_pass_downs_delta,Full,1604,0.07552597453264444,0.07552597453264444,0.002471749424956784,0.08,False,positive
spread,point_differential,off_epa_rush_delta,Full,1604,-0.05029247339478316,0.05029247339478316,0.04401833019854701,0.08,False,negative
spread,point_differential,off_epa_pass_delta,Full,1604,0.08805586067588653,0.08805586067588653,0.00041439060753671874,0.08,True,positive
spread,point_differential,off_explosive_rate_10_delta,Full,1604,-0.07117124854977314,0.07117124854977314,0.0043472301240314575,0.08,False,negative
spread,point_differential,off_explosive_rate_20_delta,Full,1604,-0.03112007184905658,0.03112007184905658,0.2128789721334052,0.08,False,negative
spread,point_differential,off_stuff_rate_delta,Full,1604,0.04527843652365473,0.04527843652365473,0.06984476835653644,0.08,False,positive
spread,point_differential,off_line_yards_per_rush_delta,Full,1604,-0.06877133923715019,0.06877133923715019,0.005861945452289918,0.08,False,negative
spread,point_differential,off_pts_per_opportunity_delta,Full,1597,0.1468946538350496,0.1468946538350496,3.68607738285973e-09,0.08,True,positive
spread,point_differential,rush_rate_std_downs_delta,Full,1604,0.29269136459133194,0.29269136459133194,4.725394260759801e-33,0.08,True,positive
spread,point_differential,rush_rate_pass_downs_delta,Full,1604,0.21657404778230005,0.21657404778230005,1.765773020568439e-18,0.08,True,positive
spread,point_differential,off_sack_rate_allowed_delta,Full,1604,-0.07130714198455522,0.07130714198455522,0.0042731549213613105,0.08,False,negative
spread,point_differential,def_success_rate_rush_allowed_delta,Full,1604,-0.006725152210551076,0.006725152210551076,0.7878256396365643,0.08,False,negative
spread,point_differential,def_success_rate_pass_allowed_delta,Full,1604,-0.14267971843494873,0.14267971843494873,9.50969934898095e-09,0.08,True,negative
spread,point_differential,def_success_rate_std_downs_allowed_delta,Full,1604,-0.058220299656233696,0.058220299656233696,0.0197069251109395,0.08,False,negative
spread,point_differential,def_epa_rush_allowed_delta,Full,1604,0.05029247339478316,0.05029247339478316,0.04401833019854701,0.08,False,positive
spread,point_differential,def_epa_pass_allowed_delta,Full,1604,-0.08805586067588653,0.08805586067588653,0.00041439060753671874,0.08,True,negative
spread,point_differential,def_stuff_rate_allowed_delta,Full,1604,-0.04527843652365473,0.04527843652365473,0.06984476835653644,0.08,False,negative
spread,point_differential,def_explosive_rate_10_allowed_delta,Full,1604,0.07117124854977314,0.07117124854977314,0.0043472301240314575,0.08,False,positive
spread,point_differential,def_explosive_rate_20_allowed_delta,Full,1604,0.03112007184905658,0.03112007184905658,0.2128789721334052,0.08,False,positive
spread,point_differential,def_pts_per_opportunity_allowed_delta,Full,1597,-0.1468946538350496,0.1468946538350496,3.68607738285973e-09,0.08,True,negative
spread,point_differential,def_sack_rate_delta,Full,1604,0.07130714198455522,0.07130714198455522,0.0042731549213613105,0.08,False,positive
spread,point_differential,off_success_rate_rush_delta,P4,754,0.004364457701306947,0.004364457701306947,0.9047638593876711,0.08,False,positive
spread,point_differential,off_success_rate_pass_delta,P4,754,0.16374452456521008,0.16374452456521008,6.203026971872487e-06,0.08,True,positive
spread,point_differential,off_success_rate_std_downs_delta,P4,754,0.056400203009508404,0.056400203009508404,0.12177671035474984,0.08,False,positive
spread,point_differential,off_success_rate_pass_downs_delta,P4,754,0.06421328350435716,0.06421328350435716,0.07804734885981611,0.08,False,positive
spread,point_differential,off_epa_rush_delta,P4,754,-0.04444208042589787,0.04444208042589787,0.22287630233300834,0.08,False,negative
spread,point_differential,off_epa_pass_delta,P4,754,0.07374696867218082,0.07374696867218082,0.04292695889985241,0.08,False,positive
spread,point_differential,off_explosive_rate_10_delta,P4,754,-0.11804330059230562,0.11804330059230562,0.0011648902300176063,0.08,True,negative
spread,point_differential,off_explosive_rate_20_delta,P4,754,-0.035095729871390265,0.035095729871390265,0.33585202998840585,0.08,False,negative
spread,point_differential,off_stuff_rate_delta,P4,754,0.06160040874887781,0.06160040874887781,0.09097278084195877,0.08,False,positive
spread,point_differential,off_line_yards_per_rush_delta,P4,754,-0.07344237300680562,0.07344237300680562,0.043796227739896804,0.08,False,negative
spread,point_differential,off_pts_per_opportunity_delta,P4,750,0.1775325614477007,0.1775325614477007,9.944329412637122e-07,0.08,True,positive
spread,point_differential,rush_rate_std_downs_delta,P4,754,0.33520587858045614,0.33520587858045614,2.95427447643914e-21,0.08,True,positive
spread,point_differential,rush_rate_pass_downs_delta,P4,754,0.26569244037477907,0.26569244037477907,1.1955141003169821e-13,0.08,True,positive
spread,point_differential,off_sack_rate_allowed_delta,P4,754,-0.043891969708791695,0.043891969708791695,0.228661926825489,0.08,False,negative
spread,point_differential,def_success_rate_rush_allowed_delta,P4,754,-0.004364457701306947,0.004364457701306947,0.9047638593876711,0.08,False,negative
spread,point_differential,def_success_rate_pass_allowed_delta,P4,754,-0.16374452456521008,0.16374452456521008,6.203026971872487e-06,0.08,True,negative
spread,point_differential,def_success_rate_std_downs_allowed_delta,P4,754,-0.056400203009508404,0.056400203009508404,0.12177671035474984,0.08,False,negative
spread,point_differential,def_epa_rush_allowed_delta,P4,754,0.04444208042589787,0.04444208042589787,0.22287630233300834,0.08,False,positive
spread,point_differential,def_epa_pass_allowed_delta,P4,754,-0.07374696867218082,0.07374696867218082,0.04292695889985241,0.08,False,negative
spread,point_differential,def_stuff_rate_allowed_delta,P4,754,-0.06160040874887781,0.06160040874887781,0.09097278084195877,0.08,False,negative
spread,point_differential,def_explosive_rate_10_allowed_delta,P4,754,0.11804330059230562,0.11804330059230562,0.0011648902300176063,0.08,True,positive
spread,point_differential,def_explosive_rate_20_allowed_delta,P4,754,0.035095729871390265,0.035095729871390265,0.33585202998840585,0.08,False,positive
spread,point_differential,def_pts_per_opportunity_allowed_delta,P4,750,-0.1775325614477007,0.1775325614477007,9.944329412637122e-07,0.08,True,negative
spread,point_differential,def_sack_rate_delta,P4,754,0.043891969708791695,0.043891969708791695,0.228661926825489,0.08,False,positive
spread,point_differential,off_success_rate_rush_delta,G5,850,0.006212557122677822,0.006212557122677822,0.8564768287386659,0.08,False,positive
spread,point_differential,off_success_rate_pass_delta,G5,850,0.12737209067936406,0.12737209067936406,0.00019670380062363328,0.08,True,positive
spread,point_differential,off_success_rate_std_downs_delta,G5,850,0.05518536228404011,0.05518536228404011,0.10788477103652941,0.08,False,positive
spread,point_differential,off_success_rate_pass_downs_delta,G5,850,0.09387468043999067,0.09387468043999067,0.006164203029869833,0.08,True,positive
spread,point_differential,off_epa_rush_delta,G5,850,-0.058141387635001165,0.058141387635001165,0.09025827394700982,0.08,False,negative
spread,point_differential,off_epa_pass_delta,G5,850,0.10146456502759722,0.10146456502759722,0.003061766353139523,0.08,True,positive
spread,point_differential,off_explosive_rate_10_delta,G5,850,-0.03197174791289021,0.03197174791289021,0.35185619040985766,0.08,False,negative
spread,point_differential,off_explosive_rate_20_delta,G5,850,-0.025911074442158632,0.025911074442158632,0.4505813806408667,0.08,False,negative
spread,point_differential,off_stuff_rate_delta,G5,850,0.03305617677470484,0.03305617677470484,0.3357534589757055,0.08,False,positive
spread,point_differential,off_line_yards_per_rush_delta,G5,850,-0.06822268749087512,0.06822268749087512,0.04676679544215232,0.08,False,negative
spread,point_differential,off_pts_per_opportunity_delta,G5,847,0.11896894913060276,0.11896894913060276,0.0005212327057224201,0.08,True,positive
spread,point_differential,rush_rate_std_downs_delta,G5,850,0.2645487100420633,0.2645487100420633,4.447371166187358e-15,0.08,True,positive
spread,point_differential,rush_rate_pass_downs_delta,G5,850,0.18266361658893351,0.18266361658893351,8.191500148541861e-08,0.08,True,positive
spread,point_differential,off_sack_rate_allowed_delta,G5,850,-0.09509572198135466,0.09509572198135466,0.005525209977102378,0.08,True,negative
spread,point_differential,def_success_rate_rush_allowed_delta,G5,850,-0.006212557122677822,0.006212557122677822,0.8564768287386659,0.08,False,negative
spread,point_differential,def_success_rate_pass_allowed_delta,G5,850,-0.12737209067936406,0.12737209067936406,0.00019670380062363328,0.08,True,negative
spread,point_differential,def_success_rate_std_downs_allowed_delta,G5,850,-0.05518536228404011,0.05518536228404011,0.10788477103652941,0.08,False,negative
spread,point_differential,def_epa_rush_allowed_delta,G5,850,0.058141387635001165,0.058141387635001165,0.09025827394700982,0.08,False,positive
spread,point_differential,def_epa_pass_allowed_delta,G5,850,-0.10146456502759722,0.10146456502759722,0.003061766353139523,0.08,True,negative
spread,point_differential,def_stuff_rate_allowed_delta,G5,850,-0.03305617677470484,0.03305617677470484,0.3357534589757055,0.08,False,negative
spread,point_differential,def_explosive_rate_10_allowed_delta,G5,850,0.03197174791289021,0.03197174791289021,0.35185619040985766,0.08,False,positive
spread,point_differential,def_explosive_rate_20_allowed_delta,G5,850,0.025911074442158632,0.025911074442158632,0.4505813806408667,0.08,False,positive
spread,point_differential,def_pts_per_opportunity_allowed_delta,G5,847,-0.11896894913060276,0.11896894913060276,0.0005212327057224201,0.08,True,negative
spread,point_differential,def_sack_rate_delta,G5,850,0.09509572198135466,0.09509572198135466,0.005525209977102378,0.08,True,positive
spread,point_differential,off_success_rate_rush_delta,ACC,182,-0.0019170354830303597,0.0019170354830303597,0.9795093405954767,0.08,False,negative
spread,point_differential,off_success_rate_pass_delta,ACC,182,0.08990705935020657,0.08990705935020657,0.22743149941259885,0.08,True,positive
spread,point_differential,off_success_rate_std_downs_delta,ACC,182,0.005310845383791875,0.005310845383791875,0.9432751298301267,0.08,False,positive
spread,point_differential,off_success_rate_pass_downs_delta,ACC,182,0.0449358042890281,0.0449358042890281,0.5469446971991522,0.08,False,positive
spread,point_differential,off_epa_rush_delta,ACC,182,-0.03979874805388812,0.03979874805388812,0.5937383263356127,0.08,False,negative
spread,point_differential,off_epa_pass_delta,ACC,182,-0.006445082673710689,0.006445082673710689,0.9311876028008705,0.08,False,negative
spread,point_differential,off_explosive_rate_10_delta,ACC,182,-0.19196280568854462,0.19196280568854462,0.009429786399183427,0.08,True,negative
spread,point_differential,off_explosive_rate_20_delta,ACC,182,-0.09683017906288066,0.09683017906288066,0.1934748721777052,0.08,True,negative
spread,point_differential,off_stuff_rate_delta,ACC,182,0.0743599130230301,0.0743599130230301,0.3184538435384558,0.08,False,positive
spread,point_differential,off_line_yards_per_rush_delta,ACC,182,-0.07411906400790284,0.07411906400790284,0.32002817820589496,0.08,False,negative
spread,point_differential,off_pts_per_opportunity_delta,ACC,182,0.07314615851085285,0.07314615851085285,0.32643895188570143,0.08,False,positive
spread,point_differential,rush_rate_std_downs_delta,ACC,182,0.32538433180988924,0.32538433180988924,7.394449589930938e-06,0.08,True,positive
spread,point_differential,rush_rate_pass_downs_delta,ACC,182,0.3161307555755276,0.3161307555755276,1.3771561720085496e-05,0.08,True,positive
spread,point_differential,off_sack_rate_allowed_delta,ACC,182,0.022037836722772226,0.022037836722772226,0.7677692097807751,0.08,False,positive
spread,point_differential,def_success_rate_rush_allowed_delta,ACC,182,0.0019170354830303597,0.0019170354830303597,0.9795093405954767,0.08,False,positive
spread,point_differential,def_success_rate_pass_allowed_delta,ACC,182,-0.08990705935020657,0.08990705935020657,0.22743149941259885,0.08,True,negative
spread,point_differential,def_success_rate_std_downs_allowed_delta,ACC,182,-0.005310845383791875,0.005310845383791875,0.9432751298301267,0.08,False,negative
spread,point_differential,def_epa_rush_allowed_delta,ACC,182,0.03979874805388812,0.03979874805388812,0.5937383263356127,0.08,False,positive
spread,point_differential,def_epa_pass_allowed_delta,ACC,182,0.006445082673710689,0.006445082673710689,0.9311876028008705,0.08,False,positive
spread,point_differential,def_stuff_rate_allowed_delta,ACC,182,-0.0743599130230301,0.0743599130230301,0.3184538435384558,0.08,False,negative
spread,point_differential,def_explosive_rate_10_allowed_delta,ACC,182,0.19196280568854462,0.19196280568854462,0.009429786399183427,0.08,True,positive
spread,point_differential,def_explosive_rate_20_allowed_delta,ACC,182,0.09683017906288066,0.09683017906288066,0.1934748721777052,0.08,True,positive
spread,point_differential,def_pts_per_opportunity_allowed_delta,ACC,182,-0.07314615851085285,0.07314615851085285,0.32643895188570143,0.08,False,negative
spread,point_differential,def_sack_rate_delta,ACC,182,-0.022037836722772226,0.022037836722772226,0.7677692097807751,0.08,False,negative
spread,point_differential,off_success_rate_rush_delta,American Athletic,160,0.022723507580193113,0.022723507580193113,0.7754791849923606,0.08,False,positive
spread,point_differential,off_success_rate_pass_delta,American Athletic,160,0.06802324775933363,0.06802324775933363,0.39272961064680334,0.08,False,positive
spread,point_differential,off_success_rate_std_downs_delta,American Athletic,160,0.078067025416854,0.078067025416854,0.32647719173568335,0.08,False,positive
spread,point_differential,off_success_rate_pass_downs_delta,American Athletic,160,0.016765855606228265,0.016765855606228265,0.8333358695517054,0.08,False,positive
spread,point_differential,off_epa_rush_delta,American Athletic,160,-0.076373714604132,0.076373714604132,0.33711168713000395,0.08,False,negative
spread,point_differential,off_epa_pass_delta,American Athletic,160,0.10933258485510633,0.10933258485510633,0.16874551606956653,0.08,True,positive
spread,point_differential,off_explosive_rate_10_delta,American Athletic,160,-0.11659598449353274,0.11659598449353274,0.14202697200810835,0.08,True,negative
spread,point_differential,off_explosive_rate_20_delta,American Athletic,160,0.002987588149522845,0.002987588149522845,0.9700910348857096,0.08,False,positive
spread,point_differential,off_stuff_rate_delta,American Athletic,160,0.029668995606344176,0.029668995606344176,0.7095757737866681,0.08,False,positive
spread,point_differential,off_line_yards_per_rush_delta,American Athletic,160,-0.07617265540159263,0.07617265540159263,0.3383888871756148,0.08,False,negative
spread,point_differential,off_pts_per_opportunity_delta,American Athletic,160,0.021687283214879977,0.021687283214879977,0.7854636605263939,0.08,False,positive
spread,point_differential,rush_rate_std_downs_delta,American Athletic,160,0.3313009019358737,0.3313009019358737,1.8749110625479364e-05,0.08,True,positive
spread,point_differential,rush_rate_pass_downs_delta,American Athletic,160,0.2114023482083461,0.2114023482083461,0.0072859581322752285,0.08,True,positive
spread,point_differential,off_sack_rate_allowed_delta,American Athletic,160,-0.050101653394788816,0.050101653394788816,0.5292392902639547,0.08,False,negative
spread,point_differential,def_success_rate_rush_allowed_delta,American Athletic,160,-0.022723507580193113,0.022723507580193113,0.7754791849923606,0.08,False,negative
spread,point_differential,def_success_rate_pass_allowed_delta,American Athletic,160,-0.06802324775933363,0.06802324775933363,0.39272961064680334,0.08,False,negative
spread,point_differential,def_success_rate_std_downs_allowed_delta,American Athletic,160,-0.078067025416854,0.078067025416854,0.32647719173568335,0.08,False,negative
spread,point_differential,def_epa_rush_allowed_delta,American Athletic,160,0.076373714604132,0.076373714604132,0.33711168713000395,0.08,False,positive
spread,point_differential,def_epa_pass_allowed_delta,American Athletic,160,-0.10933258485510633,0.10933258485510633,0.16874551606956653,0.08,True,negative
spread,point_differential,def_stuff_rate_allowed_delta,American Athletic,160,-0.029668995606344176,0.029668995606344176,0.7095757737866681,0.08,False,negative
spread,point_differential,def_explosive_rate_10_allowed_delta,American Athletic,160,0.11659598449353274,0.11659598449353274,0.14202697200810835,0.08,True,positive
spread,point_differential,def_explosive_rate_20_allowed_delta,American Athletic,160,-0.002987588149522845,0.002987588149522845,0.9700910348857096,0.08,False,negative
spread,point_differential,def_pts_per_opportunity_allowed_delta,American Athletic,160,-0.021687283214879977,0.021687283214879977,0.7854636605263939,0.08,False,negative
spread,point_differential,def_sack_rate_delta,American Athletic,160,0.050101653394788816,0.050101653394788816,0.5292392902639547,0.08,False,positive
spread,point_differential,off_success_rate_rush_delta,Big 12,183,-0.025852289197945022,0.025852289197945022,0.7283021020572901,0.08,False,negative
spread,point_differential,off_success_rate_pass_delta,Big 12,183,0.24315457142011493,0.24315457142011493,0.0009108225288863257,0.08,True,positive
spread,point_differential,off_success_rate_std_downs_delta,Big 12,183,0.14273716812430565,0.14273716812430565,0.05390948144722774,0.08,True,positive
spread,point_differential,off_success_rate_pass_downs_delta,Big 12,183,0.07468321294636703,0.07468321294636703,0.31500422428795327,0.08,False,positive
spread,point_differential,off_epa_rush_delta,Big 12,183,-0.08169262706672527,0.08169262706672527,0.2716007930291755,0.08,True,negative
spread,point_differential,off_epa_pass_delta,Big 12,183,0.07584978388492389,0.07584978388492389,0.30748335694623385,0.08,False,positive
spread,point_differential,off_explosive_rate_10_delta,Big 12,183,-0.09103192347845993,0.09103192347845993,0.22036233682073308,0.08,True,negative
spread,point_differential,off_explosive_rate_20_delta,Big 12,183,-0.09818217195420077,0.09818217195420077,0.18607495290053294,0.08,True,negative
spread,point_differential,off_stuff_rate_delta,Big 12,183,0.18372211583964088,0.18372211583964088,0.012790672610167106,0.08,True,positive
spread,point_differential,off_line_yards_per_rush_delta,Big 12,183,-0.14914489648613957,0.14914489648613957,0.04389894605076528,0.08,True,negative
spread,point_differential,off_pts_per_opportunity_delta,Big 12,182,0.18264358415667953,0.18264358415667953,0.013594088702748265,0.08,True,positive
