outcome,outcome_col,feature_delta,stratum,n,partial_r,abs_partial_r,p_value,threshold,clears_threshold,direction,trajectory_bucket
spread,point_differential,off_success_rate_rush_delta,Full,186,0.003431480961251622,0.003431480961251622,0.9629246382503696,0.08,False,positive,conf_game_1
spread,point_differential,off_success_rate_pass_delta,Full,186,0.13683559151329966,0.13683559151329966,0.06254983731291451,0.08,True,positive,conf_game_1
spread,point_differential,off_success_rate_std_downs_delta,Full,186,-0.023743442560635743,0.023743442560635743,0.7476952888307443,0.08,False,negative,conf_game_1
spread,point_differential,off_success_rate_pass_downs_delta,Full,186,0.08921122642115042,0.08921122642115042,0.22593646550495086,0.08,True,positive,conf_game_1
spread,point_differential,off_epa_rush_delta,Full,186,-0.007320911275214455,0.007320911275214455,0.9210015729226492,0.08,False,negative,conf_game_1
spread,point_differential,off_epa_pass_delta,Full,186,0.16244807134390477,0.16244807134390477,0.026739698973234936,0.08,True,positive,conf_game_1
spread,point_differential,off_explosive_rate_10_delta,Full,186,-0.07524123553784601,0.07524123553784601,0.3074043462272641,0.08,False,negative,conf_game_1
spread,point_differential,off_explosive_rate_20_delta,Full,186,-0.08801065546134246,0.08801065546134246,0.23226948420530655,0.08,True,negative,conf_game_1
spread,point_differential,off_stuff_rate_delta,Full,186,0.08586441718518445,0.08586441718518445,0.24390014608127222,0.08,True,positive,conf_game_1
spread,point_differential,off_line_yards_per_rush_delta,Full,186,-0.1388741744435316,0.1388741744435316,0.05870532048633348,0.08,True,negative,conf_game_1
spread,point_differential,off_pts_per_opportunity_delta,Full,185,0.28350045917997774,0.28350045917997774,9.213486556826476e-05,0.08,True,positive,conf_game_1
spread,point_differential,rush_rate_std_downs_delta,Full,186,0.2965140234296225,0.2965140234296225,3.966005135048728e-05,0.08,True,positive,conf_game_1
spread,point_differential,rush_rate_pass_downs_delta,Full,186,0.21520097766569102,0.21520097766569102,0.003179736655374516,0.08,True,positive,conf_game_1
spread,point_differential,off_sack_rate_allowed_delta,Full,186,0.019607199620962062,0.019607199620962062,0.790524624157367,0.08,False,positive,conf_game_1
spread,point_differential,def_success_rate_rush_allowed_delta,Full,186,-0.003431480961251622,0.003431480961251622,0.9629246382503696,0.08,False,negative,conf_game_1
spread,point_differential,def_success_rate_pass_allowed_delta,Full,186,-0.13683559151329966,0.13683559151329966,0.06254983731291451,0.08,True,negative,conf_game_1
spread,point_differential,def_success_rate_std_downs_allowed_delta,Full,186,0.023743442560635743,0.023743442560635743,0.7476952888307443,0.08,False,positive,conf_game_1
spread,point_differential,def_epa_rush_allowed_delta,Full,186,0.007320911275214455,0.007320911275214455,0.9210015729226492,0.08,False,positive,conf_game_1
spread,point_differential,def_epa_pass_allowed_delta,Full,186,-0.16244807134390477,0.16244807134390477,0.026739698973234936,0.08,True,negative,conf_game_1
spread,point_differential,def_stuff_rate_allowed_delta,Full,186,-0.08586441718518445,0.08586441718518445,0.24390014608127222,0.08,True,negative,conf_game_1
spread,point_differential,def_explosive_rate_10_allowed_delta,Full,186,0.07524123553784601,0.07524123553784601,0.3074043462272641,0.08,False,positive,conf_game_1
spread,point_differential,def_explosive_rate_20_allowed_delta,Full,186,0.08801065546134246,0.08801065546134246,0.23226948420530655,0.08,True,positive,conf_game_1
spread,point_differential,def_pts_per_opportunity_allowed_delta,Full,185,-0.28350045917997774,0.28350045917997774,9.213486556826476e-05,0.08,True,negative,conf_game_1
spread,point_differential,def_sack_rate_delta,Full,186,-0.019607199620962062,0.019607199620962062,0.790524624157367,0.08,False,negative,conf_game_1
spread,point_differential,off_success_rate_rush_delta,P4,90,-0.197984740314482,0.197984740314482,0.06140678954430916,0.08,True,negative,conf_game_1
spread,point_differential,off_success_rate_pass_delta,P4,90,-0.049064989916389724,0.049064989916389724,0.6460607158556371,0.08,False,negative,conf_game_1
spread,point_differential,off_success_rate_std_downs_delta,P4,90,-0.23863845455961052,0.23863845455961052,0.023505999048385167,0.08,True,negative,conf_game_1
spread,point_differential,off_success_rate_pass_downs_delta,P4,90,-0.012603439868008298,0.012603439868008298,0.9061468665348683,0.08,False,negative,conf_game_1
spread,point_differential,off_epa_rush_delta,P4,90,-0.10870929137549466,0.10870929137549466,0.307767726622667,0.08,True,negative,conf_game_1
spread,point_differential,off_epa_pass_delta,P4,90,0.05181985306749798,0.05181985306749798,0.6276334336886646,0.08,False,positive,conf_game_1
spread,point_differential,off_explosive_rate_10_delta,P4,90,-0.10465105815526725,0.10465105815526725,0.3262832151883996,0.08,True,negative,conf_game_1
spread,point_differential,off_explosive_rate_20_delta,P4,90,-0.051299984190979364,0.051299984190979364,0.6310938617346616,0.08,False,negative,conf_game_1
spread,point_differential,off_stuff_rate_delta,P4,90,0.2745270078810509,0.2745270078810509,0.00883172142005954,0.08,True,positive,conf_game_1
spread,point_differential,off_line_yards_per_rush_delta,P4,90,-0.3171576158571524,0.3171576158571524,0.00232056414550556,0.08,True,negative,conf_game_1
spread,point_differential,off_pts_per_opportunity_delta,P4,90,0.32132859394645963,0.32132859394645963,0.0020143194162945844,0.08,True,positive,conf_game_1
spread,point_differential,rush_rate_std_downs_delta,P4,90,0.3149615868785736,0.3149615868785736,0.00249810125112338,0.08,True,positive,conf_game_1
