column_name,authoritative_table,dtype,keep,reason_if_dropped
away_elevation_ascent_ft,int_game_environment,double precision,True,
away_elevation_delta_ft,int_game_environment,double precision,True,
away_home_elevation_ft,int_game_environment,double precision,True,
away_travel_distance_mi,int_game_environment,numeric,True,
away_tz_delta_hrs,int_game_environment,integer,True,
humidity_pct,int_game_environment,smallint,True,
is_dome,int_game_environment,boolean,True,
is_dome_adjusted_weather,int_game_environment,boolean,True,
is_high_wind,int_game_environment,boolean,True,
is_precipitation,int_game_environment,boolean,True,
precipitation_inches,int_game_environment,numeric,True,
temperature_f,int_game_environment,numeric,True,
venue_elevation_ft,int_game_environment,double precision,True,
venue_id,int_game_environment,bigint,True,
wind_gusts_mph,int_game_environment,numeric,True,
wind_speed_mph,int_game_environment,numeric,True,
close_game_epa_per_play,int_game_team_features,numeric,True,
close_game_play_count,int_game_team_features,bigint,True,
days_since_last_game,int_game_team_features,integer,True,
def_epa_per_play_allowed,int_game_team_features,numeric,True,
game_script,int_game_team_features,text,True,
game_script_avg_margin,int_game_team_features,numeric,True,
last3_def_epa_avg,int_game_team_features,numeric,True,
last3_off_epa_avg,int_game_team_features,numeric,True,
last3_points_allowed_avg,int_game_team_features,numeric,True,
last3_points_scored_avg,int_game_team_features,numeric,True,
last3_win_pct,int_game_team_features,numeric,True,
opp_sp_rating_at_game_time,int_game_team_features,numeric,True,
opponent,int_game_team_features,text,True,
points_allowed,int_game_team_features,integer,True,
points_scored,int_game_team_features,integer,True,
win,int_game_team_features,integer,True,
close_game_count,int_team_season_context,bigint,True,
close_game_count_plays_based,int_team_season_context,bigint,True,
close_game_epa_per_play_season_avg,int_team_season_context,numeric,True,
close_game_plays_total,int_team_season_context,numeric,True,
off_epa_total_per_game,int_team_season_context,numeric,True,
off_third_down_conv_rate,int_team_season_context,numeric,True,
pct_games_comfortable,int_team_season_context,numeric,True,
pct_games_competitive,int_team_season_context,numeric,True,
pct_games_deficit,int_team_season_context,numeric,True,
pct_games_dominant,int_team_season_context,numeric,True,
pct_games_large_deficit,int_team_season_context,numeric,True,
penalties_per_game,int_team_season_context,numeric,True,
penalty_yards_per_game,int_team_season_context,numeric,True,
plays_per_game,int_team_season_context,numeric,True,
rush_rate,int_team_season_context,numeric,True,
sacks_per_game,int_team_season_context,numeric,True,
scoring_efficiency_ratio,int_team_season_context,numeric,True,
tfl_per_game,int_team_season_context,numeric,True,
turnover_margin_per_game,int_team_season_context,numeric,True,
turnovers_forced_per_game,int_team_season_context,numeric,True,
turnovers_lost_per_game,int_team_season_context,numeric,True,
avg_point_diff,int_team_season_features,numeric,True,
avg_points_allowed,int_team_season_features,numeric,True,
avg_points_scored,int_team_season_features,numeric,True,
away_games,int_team_season_features,bigint,True,
city,int_team_season_features,text,True,
completion_pct,int_team_season_features,numeric,True,
conference,int_team_season_features,text,True,
current_class_rank,int_team_season_features,integer,True,
def_drives,int_team_season_features,integer,True,
